"","species","citation","entry","lon","lat","comments","year","accepted_name"
"45","Allium angulosum","@schalowErgebnisseDurchforschungSchlesischen1932","A. angulosum [...] Breslau: Lohewiesen bei Gräbschen, weißblühend (Titz)!; [...]",16.98078,51.0802,"Wrocław, Grabiszyn, łąki nad rzeką Ślęza","1932","Allium angulosum L."
"46","Allium angulosum","@schalowErgebnisseDurchforschungSchlesischen1932","A. angulosum Brieg: Bahnhof Mollwitz!; [...]",17.38632,50.84499,"Małujowice, gm. Skarbimierz, pow. brzeski, dworzec","1932","Allium angulosum L."
"47","Allium angulosum","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Allium angulosum [...] Falkenberg: Raschwitz!",17.51383,50.69355,"Radoszowice, gm. Niemodlin, pow. opolski","1933","Allium angulosum L."
"48","Allium angulosum","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Allium angulosum [...] Grottkau: [...] Chausseerand bei Voigtsdorf u. a.!;[...]",17.329,50.67874,"Wójtowice, gm. Grodków, pow. brzeski, skraj drogi","1933","Allium angulosum L."
"49","Allium angulosum","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Allium angulosum [...] Grottkau: [...] Guhlau, [...]",17.42178,50.71368,"Gola Grodkowska, gm. Grodków, pow. brzeski","1933","Allium angulosum L."
"50","Allium angulosum","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Allium angulosum [...] Grottkau: Tarnau [...]",17.4,50.70441,"Tarnów Grodkowski, gm. Grodków, pow. brzeski","1933","Allium angulosum L."
"51","Allium angulosum","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Allium angulosum Naumburg a. B.: [...] und an der Grenzlache (Tscheppe)!;[...]",15.23213,51.80817,"Nowogród Bobrzański, łacha na rzece Bóbr","1933","Allium angulosum L."
"52","Allium angulosum","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Allium angulosum Naumburg a. B.: Boberufer [...]",15.23904,51.80313,"Nowogród Bobrzański, [brzeg rzeki] Bóbr","1933","Allium angulosum L."
"53","Allium cepa","@schalowErgebnisseDurchforschungSchlesischen1932","A. Cepa Breslau: Schuttplatz vor Morgenau!",17.06966,51.09861,"Wrocław, Rakowiec, wysypisko śmieci","1932","Allium cepa L."
"54","Allium Schoenoprasum","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","A. Schoenoprasum Silberberg: auf altem Gemäuer (Rauhut)!",16.65988,50.57589,"Srebrna Góra, gm. Stoszowice, przy starych murach","1933","Allium schoenoprasum L."
"55","Allium Schoenoprasum","@schalowErgebnisseDurchforschungSchlesischen1934","Allium Schoenoprasum Breslau: Schuttplatz in Bischofswalde!",17.09846,51.09952,"Wrocław, Biskupin, wysypisko śmieci","1934","Allium schoenoprasum L."
"56","Allium sibiricum","@schalowErgebnisseDurchforschungSchlesischen1935","Allium sibiricum Hirschberg: bis Arnsdorf herabgeschwemmt (Nerlich)",15.76603,50.80603,"Mikołów, spłukiwany (Łomnicą)","1935","Allium schoenoprasum L."
"57","Allium scorodoprasum","@schalowErgebnisseDurchforschungSchlesischen1932","A. Scorodoprasum Oppeln: Ostbahnhof (Schubert)!",17.93713,50.67358,"Opole, dworzec Opole Wschodnie","1932","Allium scorodoprasum L."
"58","Allium Scorodoprasum","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","A. Scorodoprasum Glatz: unweit des Fokkenbusches (Pander)",16.69031,50.44624,"[wzgórze] Szyndzielnia, Kłodzko; las wokół (Fouque Berg w 1904, Focke Berg w latach późniejszych, patrz też: https://books.google.pl/books?id=iGJDAAAAcAAJ&pg=PA401&lpg=PA401&dq=Fokkenbusch&source=bl&ots=cf5jB3pvSk&sig=ACfU3U0--Bl5NoTFELoaYxdcM9sIK3x9wg&hl=en&sa=X&ved=2ahUKEwjStqfil5qAAxUFtaQKHYG-CLAQ6AF6BAgOEAM)","1933","Allium scorodoprasum L."
"59","Allium senescens","@schalowErgebnisseDurchforschungSchlesischen1936","Ganz überraschend aber kommt die Entdeckung recht pflanzenreicher sogenannter „pontischer“ Hügel unweit Dammer im südlichen Teile des Namslauer Kreises. Nach Wittigs Angaben finden sich hier: Anemone pratensis, Thesium intermedium, Sempervivum soboliferum, Scorzonera humilis, Anthericum ramosum, Polypodium vulgare, Scabiosa canescens, Allium senescens, Silene Otites und Astragalus arenarius.",17.82027,50.98202,"Dąbrowa, gm. Świerczów, wzgórza","1936","Allium senescens L."
"60","Allium ursinum","@wimmerBerichtUberVerhandlungen1850","Neue Fundorte schlesifcher Pflanzen, vom Professor Göppert (Vicia dumetorum und Alium ursinum im Zedlitzwalde an der Polsnitz; [...]",16.39967,50.90779,"las na południe od Pasieczna, gm. Jaworzyna Śląska, nad rz. Pełcznica","1850","Allium ursinum L."
"61","Allium ursinum","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Allium ursinum Bolkenhain: Rohnstocker Park (Kruber)",16.22484,50.95732,"Roztoka, gm. Dobromierz, pow. świdnicki","1931","Allium ursinum L."
"62","Allium Victorialis","@schalowErgebnisseDurchforschungSchlesischen1932","Allium Victorialis Riesengebirge: [...] Abfall der Schneekoppe oberhalb des Dix-Gedenksteines (Dr. Limpricht)",15.74252,50.74141,"zbocze góry Śnieżka","1932","Allium victorialis L."
"63","Allium Victorialis","@schalowErgebnisseDurchforschungSchlesischen1932","Allium Victorialis Riesengebirge: oberhalb der Forstbauden (Kruber), [...]",15.80798,50.76204,"nieistniejąca kolonia Budniki, Karpacz","1932","Allium victorialis L."
"64","Allium victorialis","@schalowErgebnisseDurchforschungSchlesischen1936","Das aus dem Isergebirge bisher noch nicht bekannte Allium Victorialis soll nach Buchs in Grasgärten von Gr.-Iser „schon seit Großvaters Zeiten Vorkommen.“",15.36295,50.84818,"Hala Izerska","1936","Allium victorialis L."
"65","Alnus incana","@mildeUeberVarietatenUnd1850","Bei Briesen wurden gefunden: Cardamine trifolia! Leucojum vernum, Utricularia vulgaris, Alnus incana.",17.46018,50.6133,"Brzeziny, gm. Skoroszyce, pow. nyski","1850","Alnus incana (L.) Moench"
"66","Alnus rugosa","@schalowErgebnisseDurchforschungSchlesischen1932","Alnus rugosa Kanth: [...] Koslau (Schoepke)!",16.72838,51.03821,"Kozłów, gm. Kąty Wrocławskie","1932","Alnus incana subsp. rugosa (Du Roi) R.T.Clausen"
"67","Alnus rugosa","@schalowErgebnisseDurchforschungSchlesischen1932","Alnus rugosa Kanth: Neudorfer Wiesen, [...]",16.72709,51.02843,"Nowa Wieś Kącka, gm. Kąty Wrocławskie, na łąkach","1932","Alnus incana subsp. rugosa (Du Roi) R.T.Clausen"
"68","Alopecurus agrestis","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Alopecurus agrestis Breslau: Schuttplatz hinter Rosenthal!",17.0196,51.14601,"wysypisko gruzu, Różanka, Wrocław","1931","Alopecurus myosuroides Huds."
"69","Alopecurus agrestis","@schalowErgebnisseDurchforschungSchlesischen1932","Alopecurus agrestis Breslau: Schuttplatz bei der Körnerwiese!",17.02072,51.06883,"wysypisko śmieci, polana Kornera, Wrocław; (https://www.dworniczak.com/zieleniec-ze-wzgorzem-skornik-historyczna-polana-kornera/)","1932","Alopecurus myosuroides Huds."
"70","Alopecurus agrestis","@schalowErgebnisseDurchforschungSchlesischen1932","Phalaris brachystachys Link Breslau: Hof der Fruchteinfuhrgesellschaft in der Siebenhufener Straße, sicherlich mit Südfruchttransporten eingeschleppt! [...] Hier fanden sich von sonstigen Südfruchtbegleitern noch: Phalaris canariensis, P. paradoxa, P. minor, Alopecurus agrestis, Anthoxanthum aristatum, Gastridium ventricosum, Cynosurus echinatus, Koeleria phleoides, Gaudinia fragilis, Scleropoa rigida, Vulpia ciliata (s. oben!), Bromus villosus, B. Madritensis, Haynaldia villosa, Triticum durum (s. oben!), Rumex bacephalophorus (s. oben!), Silene gallica, Brassica nigra, Rapistrum rugosum, Vicia Faba, V. villosa ssp. varia, Lathyrus Aphaca, Erodium malacoides, Scandix pecten Veneris, Torilis nodosa (s. oben!), T. arvensis ssp. heterophylla (s. oben!), Daucus aureus (s. oben!), Nepeta Cataria, Anagallis coerulea, Linaria Cymbalaria, Valerianella eriocarpa (s. oben!), Specularia speculum, Carduus pycnocephalus (s. oben!): Anthemis altissima, Anacyclus clavatus und Senecio Jacobaea var. erucoides (s. oben!).",17.00775,51.10392,"Wrocław, ul. Tęczowa; (Fruchteinfurh G.m.b.H., Filliale Breslau, Siebenhufener Str. 74, https://www.sbc.org.pl/dlibra/doccontent?id=86845); http://maps.mapywig.org/m/City_plans/Central_Europe/PLAN_DER_HAUPTSTADT_BRESLAU_Sonderplan_der_Innenstadt_5K_1934.jpg","1932","Alopecurus myosuroides Huds."
"71","Althaea officinalis","@schalowErgebnisseDurchforschungSchlesischen1932","Althaea officinalis Bolkenhain: Neißeufer b. Alt-Reichenau (Kruber)",NA,NA,"Gdzie Nysa (nawet Szalona) a gdzie Stare Bogaczowice, pow. wałbrzyski??","1932","Althaea officinalis L."
"72","Althaea officinalis","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Althaea officinalis Breslau: Schuttplatz vor Friedewalde!",17.09699,51.13491,"Mirowiec, os. Kowale, Wrocław, wysypisko śmieci","1933","Althaea officinalis L."
"73","Amarantus albus","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","A. albus [...] Neiße: Schützenhaus!",17.30268,50.47813,"Nysa, pow. nyski; strzelnica","1931","Amaranthus albus L."
"74","Amarantus albus","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","A. albus [...] Kandrzin: Bhf. (Schubert)!; [...]",18.20504,50.3454,"Kędzierzyn-Koźle; dworzec w Kędzierzynie","1931","Amaranthus albus L."
"75","Amarantus albus","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","A. albus Strehlen: Prieborner Marmorbruch!; [...]",17.17662,50.69313,"Przeworno, pow. strzeliński, kamieniołom marmuru","1931","Amaranthus albus L."
"76","Amarantus albus","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","A. albus [...] Neiße: Schützenhaus!",17.30268,50.47813,"Nysa, pow. nyski; strzelnica","1931","Amaranthus albus L."
"77","Amarantus albus","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","A. albus [...] Kandrzin: Bhf. (Schubert)!; [...]",18.20504,50.3454,"Kędzierzyn-Koźle; dworzec w Kędzierzynie","1931","Amaranthus albus L."
"78","Amarantus albus","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","A. albus Strehlen: Prieborner Marmorbruch!; [...]",17.17662,50.69313,"Przeworno, pow. strzeliński, kamieniołom marmuru","1931","Amaranthus albus L."
"79","Amarantus albus","@schalowErgebnisseDurchforschungSchlesischen1934","Amarantus albus Neusalz: Dorfanger in Alt-Tschau (Merz)!",15.72573,51.77679,"obecnie teren Nowa Sól, tereny zielone","1934","Amaranthus albus L."
"80","Amarantus albus","@schalowErgebnisseDurchforschungSchlesischen1935","Amarantus albus [...] Steinau a. d. O.: Oderhafen (Pfeiffer)!",16.44292,51.40765,"Ścinawa, Odra, port rzeczny","1935","Amaranthus albus L."
"81","Amarantus albus","@schalowErgebnisseDurchforschungSchlesischen1935","Amarantus albus Ruhland: Dolstheida (Militzer)!;",13.77709,51.46645,"Lauchhammer-Süd","1935","Amaranthus albus L."
"82","Amarantus blitoides S. Wats.","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","A. blitoides S. Wats. Breslau: Schuttplatz bei der Körnerwiese!",17.02072,51.06883,"wysypisko śmieci, polana Kornera, Wrocław; (https://www.dworniczak.com/zieleniec-ze-wzgorzem-skornik-historyczna-polana-kornera/)","1931","Amaranthus blitoides S.Watson"
"83","Amarantus californicus (Moq.) Wats.","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Amarantus californicus (Moq.) Wats. Breslau: Schutt platz vor Woischwitz! (Det. R. Scheuermann).",17.03917,51.06676,"Wrocław, Wojszyce, wysypisko śmieci","1931","Amaranthus californicus (Moq.) S.Watson"
"84","Amarantus panniculatus","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Amarantus panniculatus [...] Strehlen: Prieborner Marmorbruch!",17.17662,50.69313,"Przeworno, pow. strzeliński, kamieniołom marmuru","1931","Amaranthus cruentus L."
"85","Amarantus panniculatus","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Amarantus panniculatus Liebenthal: Waldkapelle (Buchs)!; [...]",15.51853,51.00961,"Lubomierz, gm. Lubomierz, pow. lwówecki; przy kaplicy leśnej","1931","Amaranthus cruentus L."
"86","Amarantus panniculatus","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Amarantus panniculatus [...] Strehlen: Prieborner Marmorbruch!",17.17662,50.69313,"Przeworno, pow. strzeliński, kamieniołom marmuru","1931","Amaranthus cruentus L."
"87","Amarantus panniculatus","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Amarantus panniculatus Liebenthal: Waldkapelle (Buchs)!; [...]",15.51853,51.00961,"Lubomierz, gm. Lubomierz, pow. lwówecki; przy kaplicy leśnej","1931","Amaranthus cruentus L."
"88","Amarantus hybridus L. ssp. cruentus Thell. var. paniculatus Thell.","@schalowErgebnisseDurchforschungSchlesischen1932","Amarantus hybridus L. ssp. cruentus Thell. var. paniculatus Thell. (= A. paniculatus L.) Frankenstein: [...] Ödland in der Silberberger Vorstadt (Rauhut)!",16.6632,50.57451,"pustkowia na przedmieściu Srebrna Góra, gm. Stoszowice, pow. ząbkowicki","1932","Amaranthus cruentus L."
"89","Amarantus hybridus L. ssp. cruentus Thell. var. paniculatus Thell.","@schalowErgebnisseDurchforschungSchlesischen1932","Amarantus hybridus L. ssp. cruentus Thell. var. paniculatus Thell. (= A. paniculatus L.) Frankenstein: Schuttplatz beim Ballonplatz, [...]",16.81433,50.59396,"Ząbkowice Śląskie, na wysypisku przy placu balonowym","1932","Amaranthus cruentus L."
"90","Amarantus hybridus L. ssp. hypochondriacus (L.) Thell. var. chlorostachys Thell.","@schalowErgebnisseDurchforschungSchlesischen1932","Amarantus hybridus L. ssp. hypochondriacus (L.) Thell. var. chlorostachys Thell. [...] Cosel: Bahnhof Kandrzin (Schubert)!",18.20504,50.3454,"Kędzierzyn-Koźle; dworzec w Kędzierzynie","1932","Amaranthus cruentus L."
"91","Amarantus hybridus L. ssp. hypochondriacus (L.) Thell. var. chlorostachys Thell.","@schalowErgebnisseDurchforschungSchlesischen1932","Amarantus hybridus L. ssp. hypochondriacus (L.) Thell. var. chlorostachys Thell. Breslau: [...] auf den Schuttplätzen [...] bei der Körnerwiese!; [...]",17.02072,51.06883,"wysypisko śmieci, polana Kornera, Wrocław; (https://www.dworniczak.com/zieleniec-ze-wzgorzem-skornik-historyczna-polana-kornera/)","1932","Amaranthus cruentus L."
"92","Amarantus hybridus L. ssp. hypochondriacus (L.) Thell. var. chlorostachys Thell.","@schalowErgebnisseDurchforschungSchlesischen1932","Amarantus hybridus L. ssp. hypochondriacus (L.) Thell. var. chlorostachys Thell. Breslau: [...] auf den Schuttplätzen vor Morgenau [...]",17.06966,51.09861,"Wrocław, Rakowiec, wysypisko śmieci","1932","Amaranthus cruentus L."
"93","Amarantus hybridus L. ssp. hypochondriacus (L.) Thell. var. chlorostachys Thell.","@schalowErgebnisseDurchforschungSchlesischen1932","Amarantus hybridus L. ssp. hypochondriacus (L.) Thell. var. chlorostachys Thell. Breslau: Güterbahnhof West! (Dr. K. Meyer)!, [...]",17.01173,51.11007,"Wrocław, między ul. Braniborska a Robotnicza","1932","Amaranthus cruentus L."
"94","Amarantus hybridus ssp. cruentus Thell. var. paniculatus Thell.","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Amarantus hybridus ssp. cruentus Thell. var. paniculatus Thell. [...] Brieg: Schuttplatz an der Ziegeleistraße (Weimann)!",17.46759,50.86822,"Brzeg, ul. Cegielniana (http://maps.mapywig.org/m/City_plans/Central_Europe/BRZEG_Pharus-Plan_Brieg_6K_1928_BCUWr-c8200030541-0005.jpg)","1933","Amaranthus cruentus L."
"95","Amarantus hybridus ssp. cruentus Thell. var. paniculatus Thell.","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Amarantus hybridus ssp. cruentus Thell. var. paniculatus Thell. [...] Bolkenhain: auf Schutt in Alt-Reichenau (Strauch)!; [...]",16.19364,50.8508,"Stare Bogaczowice, gm. Stare Bogaczowice, pow. wałbrzyski; na wysypisku ","1933","Amaranthus cruentus L."
"96","Amarantus hybridus ssp. cruentus Thell. var. paniculatus Thell.","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Amarantus hybridus ssp. cruentus Thell. var. paniculatus Thell. Liegnitz: Schuttplatz an der Koischwitzer Straße (Weimann)!; [...]",16.1937,51.20265,"Legnica, ul. Koskowicka / Al. Marszałka Józefa Piłsudskiego, wysypisko śmieci","1933","Amaranthus cruentus L."
